Adding dependency `cuda/11.6.2-510.47.03` to your environment
Adding dependency `anaconda/2020.11:python3` to your environment
Adding package `openmm/20221108` to your environment

System Time is: 2023-03-23 19:35:35.701814
Creating the simulation system...
4.0*epsilon0*(frac^6)*((frac^6) - 1.0) + epsilon0;	                frac = sigma0/(r- bubble0 + sigma0*(2^(1/6)));	                r = min(bubble0,abs(periodicdistance(x, y, z, x0, y0, z0)));
4.0*epsilon1*(frac^6)*((frac^6) - 1.0) + epsilon1;	                frac = sigma1/(r- bubble1 + sigma1*(2^(1/6)));	                r = min(bubble1,abs(periodicdistance(x, y, z, x1, y1, z1)));
4.0*epsilon2*(frac^6)*((frac^6) - 1.0) + epsilon2;	                frac = sigma2/(r- bubble2 + sigma2*(2^(1/6)));	                r = min(bubble2,abs(periodicdistance(x, y, z, x2, y2, z2)));
4.0*epsilon3*(frac^6)*((frac^6) - 1.0) + epsilon3;	                frac = sigma3/(r- bubble3 + sigma3*(2^(1/6)));	                r = min(bubble3,abs(periodicdistance(x, y, z, x3, y3, z3)));

System Time is: 2023-03-23 19:35:43.952942
The simulation system has been created. Preparing for simulation...
bubble radius: 0.0254 A

System Time is: 2023-03-23 19:35:44.732439
Starting equilibration...

#"Step","Total Energy (kJ/mole)","Time Remaining"
bubble radius: 0.1292 A

System Time is: 2023-03-23 20:36:52.191544
Starting equilibration...

401000,-40020.654789063476,1:10:38:05
402000,-38872.57929836739,1:10:37:37
403000,-39782.22777341642,1:10:37:09
404000,-39556.106861682165,1:10:36:39
405000,-39080.98895420549,1:10:36:10
406000,-39521.25440311172,1:10:35:42
407000,-39549.452242606305,1:10:35:14
408000,-40712.92449064423,1:10:34:46
409000,-40022.41083238441,1:10:34:18
410000,-40180.181052782864,1:10:33:51
411000,-40586.15061603032,1:10:33:22
412000,-40288.02245267316,1:10:32:54
413000,-40023.37809907,1:10:32:27
414000,-39511.01217144594,1:10:32:00
415000,-40378.03658617087,1:10:31:33
416000,-40356.56476072155,1:10:31:06
417000,-39604.01005465292,1:10:30:38
418000,-39571.80928558922,1:10:30:10
419000,-39974.450462535824,1:10:29:43
420000,-40505.89282614231,1:10:29:16
421000,-39562.85244446869,1:10:28:50
422000,-39723.44123170087,1:10:28:22
423000,-40062.62184017616,1:10:27:57
424000,-39361.63050249618,1:10:27:31
425000,-39400.221563744795,1:10:27:05
426000,-39494.14511518819,1:10:26:40
427000,-39342.54572613414,1:10:26:16
428000,-40065.16513083949,1:10:25:50
429000,-40073.889502073944,1:10:25:24
430000,-39820.50582874019,1:10:24:58
431000,-40004.81962905818,1:10:24:29
432000,-38788.35658067031,1:10:24:03
433000,-39176.09120308254,1:10:23:37
434000,-39466.92621502517,1:10:23:11
435000,-40206.711110225646,1:10:22:46
436000,-39879.419556389264,1:10:22:22
437000,-39346.4772288566,1:10:21:57
438000,-39498.6098327732,1:10:21:32
439000,-40002.86923553232,1:10:21:09
440000,-39413.01400934199,1:10:20:44
441000,-39748.81263397205,1:10:20:19
442000,-39933.189184672134,1:10:19:54
443000,-40115.88288863884,1:10:19:30
444000,-39882.75056996812,1:10:19:07
445000,-39837.6743679075,1:10:18:43
446000,-39714.24241740699,1:10:18:22
447000,-39812.67227215267,1:10:17:58
448000,-39819.497713363366,1:10:17:33
449000,-40521.80357700094,1:10:17:08
450000,-39792.84413513605,1:10:16:44
451000,-39573.568106189196,1:10:16:19
452000,-40032.51745427995,1:10:15:54
453000,-40260.635977405866,1:10:15:30
454000,-39440.80999580576,1:10:15:05
455000,-40001.7394955125,1:10:14:40
456000,-39515.76351001354,1:10:14:17
457000,-39671.226643652175,1:10:13:51
458000,-39648.445095772855,1:10:13:27
459000,-40063.061185939136,1:10:13:02
460000,-39312.14779626199,1:10:12:38
461000,-40108.87506782595,1:10:12:14
462000,-40164.01825206165,1:10:11:51
463000,-40128.84012719986,1:10:11:28
464000,-40141.85553798976,1:10:11:04
465000,-40000.26622105358,1:10:10:40
466000,-39303.546019913556,1:10:10:16
467000,-39517.55868629347,1:10:09:53
468000,-39247.90933756261,1:10:09:29
469000,-39582.965073460204,1:10:09:04
470000,-39788.725798285916,1:10:08:36
471000,-39922.92896722605,1:10:08:12
