r,elect_mean,elect_var,elect_seom,vdw_mean,vdw_var,vdw_seom
14.81426,-22.40795464543078,0.5137495769038235,0.0012853086023434728,-0.0017887524398439783,3.1431149804209266e-07,1.0053373319992906e-06
14.88531,-22.304048314839818,0.5042976034583766,0.0012686053064622541,-0.0017345278328275136,2.9294183399319775e-07,9.668826553796189e-07
14.95637,-22.197441042374063,0.49503991598590924,0.0012498689276368175,-0.0016837698648119869,2.719205189444366e-07,9.26329196256947e-07
15.02742,-22.09423871577725,0.4839494865926696,0.0012288634188238018,-0.0016352952189569202,2.5450234097515105e-07,8.91147288893391e-07
15.09847,-21.98902242803698,0.47668121132642743,0.0012140144800099257,-0.0015876600810067097,2.3702407684367724e-07,8.560636992536508e-07
15.16952,-21.889751313289096,0.46438313712605733,0.0011949606493707697,-0.0015404441383212288,2.202707709982531e-07,8.229885999917239e-07
15.24057,-21.78524977145465,0.4577636398478864,0.001180284944303752,-0.0014977385879488745,2.0627990208339538e-07,7.923091633682266e-07
15.31162,-21.68700155850191,0.449561116204659,0.001164696784595825,-0.0014538689470380921,1.9281264196640524e-07,7.627570998814809e-07
15.38267,-21.586290764137615,0.4413092941891628,0.0011467386311703252,-0.0014127782379899521,1.8051917972702227e-07,7.334230957481346e-07
15.45373,-21.487912484809065,0.43326228332537553,0.001131857755034774,-0.0013726184597643379,1.6817669362240408e-07,7.051789074906231e-07
15.52478,-21.392489705022854,0.4267954606525462,0.0011167923528655657,-0.0013341158283556793,1.569942038452275e-07,6.77336290600234e-07
15.59583,-21.294344130808152,0.4212498847105388,0.0011045645581809122,-0.0012960957977692757,1.4630715020058969e-07,6.509595190092722e-07
15.66688,-21.198436294012616,0.41322705502819407,0.0010891219055607867,-0.0012619113231486425,1.3742255669949998e-07,6.280744563953646e-07
15.73793,-21.103766199787906,0.4068593868346858,0.0010784172280918036,-0.001226902507138957,1.286316154920952e-07,6.063711205804558e-07
15.80898,-21.010776792855165,0.4014428085945989,0.001065508555541978,-0.0011906427638165371,1.1939068971929e-07,5.810725109973884e-07
15.88004,-20.91827357444399,0.39490186373025316,0.0010521312138112588,-0.0011590565064557182,1.1184616465054464e-07,5.599327393449801e-07
15.95109,-20.826101899235688,0.3903734865176324,0.0010418074182838805,-0.0011265609404149909,1.0503555488083245e-07,5.404001437015865e-07
16.02214,-20.735807541132573,0.3861804487544387,0.0010312147763716331,-0.0010975343861436577,9.785945436188198e-08,5.191052019452048e-07
16.09319,-20.647551811063163,0.38252716511583307,0.001021788741361364,-0.0010670979046745652,9.180055605573992e-08,5.005559498910793e-07
16.16424,-20.558330185098324,0.3781632925361082,0.0010125721475635757,-0.0010384078344824591,8.611684140865117e-08,4.832037968478026e-07
16.23529,-20.469203990121546,0.37304895190073234,0.0010017886713134454,-0.001009941945238057,8.073980621599089e-08,4.660548753726493e-07
16.30635,-20.38227993779243,0.37090469850425756,0.0009946917302972964,-0.0009838177627682898,7.611384040542829e-08,4.5059789391915225e-07
16.3774,-20.296680587639734,0.36791280150591044,0.0009874738280253824,-0.0009573627241549299,7.161381734233913e-08,4.3566388140049075e-07
16.44845,-20.21100812338587,0.3678619887751342,0.0009845991489146574,-0.0009327496969377536,6.67588144335202e-08,4.1944141183753605e-07
16.5195,-20.129553338821378,0.37074624341645157,0.0009843227454745039,-0.0009073260159414609,6.250436556601655e-08,4.0416091941318806e-07
16.59055,-20.045355909233262,0.3717309852810788,0.0009808943590153849,-0.0008837366346320589,5.8898441757616993e-08,3.9044490329361163e-07
16.6616,-19.96510751249168,0.3754995090634076,0.0009826720627103065,-0.0008611584147467335,5.537077951485664e-08,3.7734990179136106e-07
16.73266,-19.886454987846964,0.38230342524434946,0.0009874499412283267,-0.0008387805643192896,5.226389827498411e-08,3.65100051066028e-07
16.80371,-19.81233523079457,0.3882153181708444,0.0009918580880789274,-0.0008166719460740216,4.9313443686164534e-08,3.535052524348356e-07
16.87476,-19.7347193614649,0.3965907556653942,0.0009979472327230413,-0.0007950673490296918,4.613560942917208e-08,3.4037246176127574e-07
16.94581,-19.66083243858574,0.4093911002207131,0.0010098370578418372,-0.0007753757591156148,4.332444163241194e-08,3.285099985895936e-07
17.01686,-19.590294858748933,0.42354730415536035,0.001025033590737857,-0.0007559402845859212,4.083375396474906e-08,3.1827079617867083e-07
17.08791,-19.51889633163422,0.4394670613555863,0.0010390248847174236,-0.0007366323159123012,3.858218712545473e-08,3.0786208460030654e-07
17.15897,-19.449229755925096,0.45883066008858175,0.0010577200601126313,-0.0007177060372573877,3.625958768037896e-08,2.9734179324161856e-07
17.23002,-19.37971197788594,0.4766988560927795,0.0010746536504739525,-0.0006992945206641002,3.410820258438025e-08,2.87458980040483e-07
17.30107,-19.31095448690291,0.493735680743591,0.0010878756870078162,-0.0006818975435770583,3.215977005399111e-08,2.776441207297121e-07
17.37212,-19.240787185462214,0.5058658832144061,0.0010984312317528547,-0.0006646143498399585,3.053195113889845e-08,2.6985623496754525e-07
17.44317,-19.16669001542968,0.5181238813880553,0.001107316026007174,-0.0006482885351735368,2.9033032553077736e-08,2.6212049584500644e-07
17.51422,-19.091797043162916,0.5332175346646935,0.001119103599765701,-0.0006319157081823285,2.7374556886659497e-08,2.5356635655804323e-07
17.58528,-19.013292796857655,0.5543444884826618,0.0011357571024108234,-0.0006166760133382045,2.5866620013794852e-08,2.453383476521515e-07
17.65633,-18.93363041911775,0.5832649135524631,0.0011636281895015586,-0.0006014776140885223,2.4520022700795843e-08,2.385842340840325e-07
17.72738,-18.848463602746115,0.6152153331713958,0.0011887207308868537,-0.0005870666706478721,2.3442809962173136e-08,2.320444015039406e-07
17.79843,-18.764921602615733,0.6599012845933098,0.0012270665561684544,-0.0005724245957409913,2.2334787806209436e-08,2.257457319109643e-07
